feature,importance,period,test_r2
hawker_within_2km,0.31130129780423066,pre_covid,0.8745205908830914
remaining_lease_months,0.2784049175947832,pre_covid,0.8745205908830914
floor_area_sqm,0.06913715436733361,pre_covid,0.8745205908830914
park_within_2km,0.05161910956892804,pre_covid,0.8745205908830914
preschool_within_500m,0.03568228189679863,pre_covid,0.8745205908830914
mrt_within_2km,0.030903168288641293,pre_covid,0.8745205908830914
dist_to_nearest_mrt,0.026837901762506076,pre_covid,0.8745205908830914
park_within_1km,0.023931012653185747,pre_covid,0.8745205908830914
preschool_within_2km,0.021645178312971133,pre_covid,0.8745205908830914
dist_to_nearest_hawker,0.02137805414936982,pre_covid,0.8745205908830914
mrt_within_1km,0.019685921078740783,pre_covid,0.8745205908830914
childcare_within_500m,0.018261049229194862,pre_covid,0.8745205908830914
supermarket_within_1km,0.013634762551752715,pre_covid,0.8745205908830914
childcare_within_2km,0.013599528180795293,pre_covid,0.8745205908830914
dist_to_nearest_park,0.01299790362167937,pre_covid,0.8745205908830914
dist_to_nearest_childcare,0.0103833093256214,pre_covid,0.8745205908830914
dist_to_nearest_preschool,0.009877240589444163,pre_covid,0.8745205908830914
dist_to_nearest_supermarket,0.007986230823602369,pre_covid,0.8745205908830914
preschool_within_1km,0.006745713115337861,pre_covid,0.8745205908830914
supermarket_within_2km,0.0037659573109803945,pre_covid,0.8745205908830914
childcare_within_1km,0.0035663368132554706,pre_covid,0.8745205908830914
supermarket_within_500m,0.0023827225156206706,pre_covid,0.8745205908830914
hawker_within_1km,0.002139122879316396,pre_covid,0.8745205908830914
hawker_within_500m,0.0020120151180121598,pre_covid,0.8745205908830914
mrt_within_500m,0.0014269111409956335,pre_covid,0.8745205908830914
park_within_500m,0.0006951993069023358,pre_covid,0.8745205908830914
hawker_within_2km,0.4049609915613735,covid,0.8497632627911855
remaining_lease_months,0.3864968584845198,covid,0.8497632627911855
floor_area_sqm,0.037504495439222095,covid,0.8497632627911855
preschool_within_500m,0.020060067346303643,covid,0.8497632627911855
childcare_within_2km,0.015738328326352417,covid,0.8497632627911855
dist_to_nearest_preschool,0.014427234676611873,covid,0.8497632627911855
park_within_1km,0.013315279650595655,covid,0.8497632627911855
dist_to_nearest_childcare,0.013285622763531785,covid,0.8497632627911855
dist_to_nearest_park,0.011894434914240299,covid,0.8497632627911855
park_within_2km,0.010464255236211226,covid,0.8497632627911855
dist_to_nearest_mrt,0.010087696063079769,covid,0.8497632627911855
preschool_within_2km,0.009927226149539213,covid,0.8497632627911855
dist_to_nearest_hawker,0.009289058738199329,covid,0.8497632627911855
mrt_within_2km,0.008821453728066619,covid,0.8497632627911855
supermarket_within_1km,0.006930446011175744,covid,0.8497632627911855
childcare_within_500m,0.006818009041602893,covid,0.8497632627911855
dist_to_nearest_supermarket,0.004951196276231442,covid,0.8497632627911855
supermarket_within_2km,0.003960304091861305,covid,0.8497632627911855
childcare_within_1km,0.0023485597160584713,covid,0.8497632627911855
supermarket_within_500m,0.0019232773690243312,covid,0.8497632627911855
park_within_500m,0.0016880954211890512,covid,0.8497632627911855
preschool_within_1km,0.0016343857154799152,covid,0.8497632627911855
mrt_within_1km,0.0011184178893739885,covid,0.8497632627911855
mrt_within_500m,0.0008630670444398305,covid,0.8497632627911855
hawker_within_1km,0.0008035933327760418,covid,0.8497632627911855
hawker_within_500m,0.0006876450129397983,covid,0.8497632627911855
remaining_lease_months,0.4398164112909605,post_covid,0.8815554199502138
hawker_within_2km,0.36615389209378646,post_covid,0.8815554199502138
floor_area_sqm,0.03896815678553207,post_covid,0.8815554199502138
preschool_within_2km,0.01618884533135794,post_covid,0.8815554199502138
park_within_2km,0.01500691570331974,post_covid,0.8815554199502138
mrt_within_1km,0.013985737557744845,post_covid,0.8815554199502138
dist_to_nearest_mrt,0.012688274217919541,post_covid,0.8815554199502138
mrt_within_2km,0.012639306532753459,post_covid,0.8815554199502138
preschool_within_500m,0.011720262401494506,post_covid,0.8815554199502138
supermarket_within_2km,0.011095868330059397,post_covid,0.8815554199502138
park_within_1km,0.011051970552037878,post_covid,0.8815554199502138
dist_to_nearest_hawker,0.007049710690077154,post_covid,0.8815554199502138
childcare_within_2km,0.005826191636371614,post_covid,0.8815554199502138
hawker_within_500m,0.004966996455437794,post_covid,0.8815554199502138
dist_to_nearest_supermarket,0.004486567350415511,post_covid,0.8815554199502138
childcare_within_500m,0.0037487886886645454,post_covid,0.8815554199502138
supermarket_within_1km,0.0034330545872529043,post_covid,0.8815554199502138
dist_to_nearest_park,0.0031871035910888126,post_covid,0.8815554199502138
preschool_within_1km,0.0031730412138005724,post_covid,0.8815554199502138
supermarket_within_500m,0.0030096415690525793,post_covid,0.8815554199502138
dist_to_nearest_childcare,0.0028724043181946823,post_covid,0.8815554199502138
hawker_within_1km,0.002858690696547067,post_covid,0.8815554199502138
dist_to_nearest_preschool,0.0025276989979386814,post_covid,0.8815554199502138
childcare_within_1km,0.002474676160569671,post_covid,0.8815554199502138
mrt_within_500m,0.0007480468386890221,post_covid,0.8815554199502138
park_within_500m,0.00032174640893306745,post_covid,0.8815554199502138
