year,property_type,mean,median,std,count
2017,HDB,11.373154278652681,8.955223880597018,25.994922556529687,15988
2018,HDB,12.128100552453008,10.000000000000009,27.166483493403096,16542
2019,HDB,8.457863697645207,3.658536585365857,31.196345581539763,15645
2020,HDB,36.839622942407495,30.76923076923077,40.984414000408634,15945
2021,HDB,45.941077422648995,16.94915254237288,93.3626275523158,19526
2022,HDB,-5.125745455191432,-11.111111111111116,24.596505509571397,19481
2023,HDB,0.4129241625185016,-2.9126213592232997,25.352703338313205,17807
2024,HDB,13.784879996299248,9.15032679738561,29.48320343782345,20036
2025,HDB,-5.274560895896192,-8.974358974358976,22.812774861839483,16875
2026,HDB,-30.987697195156734,-33.90804597701149,9.235566471062024,853
