planning_area,property_type,metric,horizon,forecast_date,predicted_value,confidence_lower,confidence_upper,trend_pct,model_r2
ANG MO KIO,HDB,median_price,6m,2026-07-31,316819.5,300978.52,332660.47,-42.81,0.75
ANG MO KIO,HDB,median_price,12m,2027-02-01,79638.99,71675.09,87602.89,-85.62,0.65
ANG MO KIO,HDB,median_psf,6m,2026-07-31,306.03,290.73,321.34,-49.83,0.72
BEDOK,HDB,median_price,6m,2026-07-31,767633.71,729252.02,806015.39,-17.46,0.75
BEDOK,HDB,median_price,12m,2027-02-01,605267.41,544740.67,665794.15,-34.92,0.65
BEDOK,HDB,median_psf,6m,2026-07-31,710.76,675.22,746.3,-19.51,0.72
BISHAN,HDB,median_price,6m,2026-07-31,893742.38,849055.26,938429.5,-1.73,0.75
BISHAN,HDB,median_price,12m,2027-02-01,878040.76,790236.68,965844.83,-3.45,0.65
BISHAN,HDB,median_psf,6m,2026-07-31,491.07,466.51,515.62,-35.62,0.72
BUKIT MERAH,HDB,median_price,6m,2026-07-31,924062.24,877859.13,970265.35,8.71,0.75
BUKIT MERAH,HDB,median_price,12m,2027-02-01,998124.48,898312.03,1097936.92,17.43,0.65
BUKIT MERAH,HDB,median_psf,6m,2026-07-31,944.66,897.43,991.89,14.62,0.72
BUKIT PANJANG,HDB,median_price,6m,2026-07-31,1022519.92,971393.92,1073645.91,-15.84,0.75
BUKIT PANJANG,HDB,median_price,12m,2027-02-01,830039.83,747035.85,913043.82,-31.68,0.65
BUKIT PANJANG,HDB,median_psf,6m,2026-07-31,1224.0,1162.8,1285.2,-5.19,0.72
BUKIT TIMAH,HDB,median_price,6m,2026-07-31,3186207.89,3026897.49,3345518.28,7.1,0.75
BUKIT TIMAH,HDB,median_price,12m,2027-02-01,3397415.78,3057674.2,3737157.35,14.2,0.65
BUKIT TIMAH,HDB,median_psf,6m,2026-07-31,2493.47,2368.8,2618.14,3.16,0.72
ROCHOR,HDB,median_price,6m,2026-07-31,1237951.57,1176053.99,1299849.15,-2.91,0.75
ROCHOR,HDB,median_price,12m,2027-02-01,1200903.15,1080812.83,1320993.46,-5.81,0.65
ROCHOR,HDB,median_psf,6m,2026-07-31,1707.88,1622.49,1793.28,3.13,0.72
OUTRAM,HDB,median_price,6m,2026-07-31,1496988.5,1422139.08,1571837.93,-1.38,0.75
OUTRAM,HDB,median_price,12m,2027-02-01,1475977.01,1328379.31,1623574.71,-2.77,0.65
OUTRAM,HDB,median_psf,6m,2026-07-31,2157.23,2049.36,2265.09,16.71,0.72
CHOA CHU KANG,HDB,median_price,6m,2026-07-31,607026.83,576675.48,637378.17,-2.09,0.75
CHOA CHU KANG,HDB,median_price,12m,2027-02-01,594053.65,534648.29,653459.02,-4.18,0.65
CHOA CHU KANG,HDB,median_psf,6m,2026-07-31,507.87,482.47,533.26,-1.52,0.72
CLEMENTI,HDB,median_price,6m,2026-07-31,1158411.23,1100490.67,1216331.79,-3.02,0.75
CLEMENTI,HDB,median_price,12m,2027-02-01,1122378.46,1010140.62,1234616.31,-6.03,0.65
CLEMENTI,HDB,median_psf,6m,2026-07-31,1364.59,1296.36,1432.82,-8.91,0.72
GEYLANG,HDB,median_price,6m,2026-07-31,833080.42,791426.4,874734.44,-10.23,0.75
GEYLANG,HDB,median_price,12m,2027-02-01,738160.84,664344.76,811976.92,-20.46,0.65
GEYLANG,HDB,median_psf,6m,2026-07-31,779.69,740.7,818.67,-17.62,0.72
HOUGANG,HDB,median_price,6m,2026-07-31,630783.22,599244.06,662322.38,-2.96,0.75
HOUGANG,HDB,median_price,12m,2027-02-01,611566.43,550409.79,672723.08,-5.91,0.65
HOUGANG,HDB,median_psf,6m,2026-07-31,569.83,541.34,598.33,-3.58,0.72
JURONG EAST,HDB,median_price,6m,2026-07-31,291483.5,276909.32,306057.67,-45.52,0.75
JURONG EAST,HDB,median_price,12m,2027-02-01,47966.99,43170.29,52763.69,-91.03,0.65
JURONG EAST,HDB,median_psf,6m,2026-07-31,224.94,213.69,236.18,-62.1,0.72
JURONG WEST,HDB,median_price,6m,2026-07-31,537775.1,510886.35,564663.86,0.52,0.75
JURONG WEST,HDB,median_price,12m,2027-02-01,540550.21,486495.19,594605.23,1.04,0.65
JURONG WEST,HDB,median_psf,6m,2026-07-31,498.98,474.03,523.93,0.26,0.72
NOVENA,HDB,median_price,6m,2026-07-31,1234503.58,1172778.4,1296228.76,-16.59,0.75
NOVENA,HDB,median_price,12m,2027-02-01,989007.16,890106.44,1087907.88,-33.18,0.65
NOVENA,HDB,median_psf,6m,2026-07-31,1837.38,1745.51,1929.25,-0.95,0.72
KALLANG,HDB,median_price,6m,2026-07-31,1013334.18,962667.47,1064000.89,4.31,0.75
KALLANG,HDB,median_price,12m,2027-02-01,1055168.36,949651.53,1160685.2,8.61,0.65
KALLANG,HDB,median_psf,6m,2026-07-31,1126.18,1069.87,1182.49,2.64,0.72
MARINE PARADE,HDB,median_price,6m,2026-07-31,1430423.15,1358901.99,1501944.31,-8.13,0.75
MARINE PARADE,HDB,median_price,12m,2027-02-01,1303846.3,1173461.67,1434230.93,-16.26,0.65
MARINE PARADE,HDB,median_psf,6m,2026-07-31,2321.35,2205.29,2437.42,3.68,0.72
CHANGI,HDB,median_price,6m,2026-07-31,838578.32,796649.41,880507.24,13.32,0.75
CHANGI,HDB,median_price,12m,2027-02-01,937156.64,843440.98,1030872.31,26.64,0.65
CHANGI,HDB,median_psf,6m,2026-07-31,543.18,516.02,570.34,4.29,0.72
PASIR RIS,HDB,median_price,6m,2026-07-31,705454.55,670181.82,740727.27,-11.71,0.75
PASIR RIS,HDB,median_price,12m,2027-02-01,611909.09,550718.18,673100.0,-23.42,0.65
PASIR RIS,HDB,median_psf,6m,2026-07-31,368.76,350.32,387.2,-36.99,0.72
PUNGGOL,HDB,median_price,6m,2026-07-31,649926.46,617430.14,682422.78,-1.53,0.75
PUNGGOL,HDB,median_price,12m,2027-02-01,639852.92,575867.63,703838.22,-3.05,0.65
PUNGGOL,HDB,median_psf,6m,2026-07-31,660.49,627.47,693.51,-1.64,0.72
QUEENSTOWN,HDB,median_price,6m,2026-07-31,468332.17,444915.56,491748.78,17.67,0.75
QUEENSTOWN,HDB,median_price,12m,2027-02-01,538664.34,484797.9,592530.77,35.34,0.65
QUEENSTOWN,HDB,median_psf,6m,2026-07-31,758.19,720.28,796.1,22.42,0.72
SEMBAWANG,HDB,median_price,6m,2026-07-31,687221.03,652859.98,721582.09,17.47,0.75
SEMBAWANG,HDB,median_price,12m,2027-02-01,789442.07,710497.86,868386.28,34.95,0.65
SEMBAWANG,HDB,median_psf,6m,2026-07-31,765.05,726.8,803.3,27.27,0.72
SENGKANG,HDB,median_price,6m,2026-07-31,662502.32,629377.21,695627.44,-1.71,0.75
SENGKANG,HDB,median_price,12m,2027-02-01,651004.64,585904.18,716105.11,-3.41,0.65
SENGKANG,HDB,median_psf,6m,2026-07-31,659.32,626.36,692.29,0.86,0.72
SERANGOON,HDB,median_price,6m,2026-07-31,709032.67,673581.04,744484.3,-7.68,0.75
SERANGOON,HDB,median_price,12m,2027-02-01,650065.34,585058.81,715071.88,-15.36,0.65
SERANGOON,HDB,median_psf,6m,2026-07-31,547.8,520.41,575.19,-24.4,0.72
TAMPINES,HDB,median_price,6m,2026-07-31,203180.33,193021.31,213339.35,-69.22,0.75
TAMPINES,HDB,median_price,12m,2027-02-01,-253639.34,-228275.41,-279003.28,-138.43,0.65
TAMPINES,HDB,median_psf,6m,2026-07-31,-81.19,-77.13,-85.25,-113.46,0.72
TOA PAYOH,HDB,median_price,6m,2026-07-31,536493.01,509668.36,563317.66,-16.69,0.75
TOA PAYOH,HDB,median_price,12m,2027-02-01,428986.01,386087.41,471884.62,-33.39,0.65
TOA PAYOH,HDB,median_psf,6m,2026-07-31,346.71,329.38,364.05,-45.56,0.72
WOODLANDS,HDB,median_price,6m,2026-07-31,544622.41,517391.29,571853.53,-3.61,0.75
WOODLANDS,HDB,median_price,12m,2027-02-01,524244.81,471820.33,576669.29,-7.21,0.65
WOODLANDS,HDB,median_psf,6m,2026-07-31,520.46,494.44,546.48,-0.27,0.72
YISHUN,HDB,median_price,6m,2026-07-31,506644.62,481312.38,531976.85,-3.5,0.75
YISHUN,HDB,median_price,12m,2027-02-01,488289.23,439460.31,537118.15,-6.99,0.65
YISHUN,HDB,median_psf,6m,2026-07-31,536.16,509.35,562.96,-2.02,0.72
DOWNTOWN CORE,HDB,median_price,6m,2026-07-31,1837397.02,1745527.17,1929266.87,1.51,0.75
DOWNTOWN CORE,HDB,median_price,12m,2027-02-01,1864794.03,1678314.63,2051273.44,3.03,0.65
DOWNTOWN CORE,HDB,median_psf,6m,2026-07-31,2897.09,2752.23,3041.94,1.65,0.72
TANGLIN,HDB,median_price,6m,2026-07-31,3862465.03,3669341.78,4055588.29,3.69,0.75
TANGLIN,HDB,median_price,12m,2027-02-01,3999930.07,3599937.06,4399923.08,7.38,0.65
TANGLIN,HDB,median_psf,6m,2026-07-31,2532.87,2406.23,2659.52,2.05,0.72
LIM CHU KANG,HDB,median_price,6m,2026-07-31,47389.86,45020.37,49759.35,-29.27,0.75
LIM CHU KANG,HDB,median_price,12m,2027-02-01,27779.72,25001.75,30557.69,-58.54,0.65
LIM CHU KANG,HDB,median_psf,6m,2026-07-31,85.96,81.66,90.26,-18.52,0.72
NEWTON,HDB,median_price,6m,2026-07-31,5483009.17,5208858.72,5757159.63,7.44,0.75
NEWTON,HDB,median_price,12m,2027-02-01,5862681.35,5276413.21,6448949.48,14.88,0.65
NEWTON,HDB,median_psf,6m,2026-07-31,2173.14,2064.48,2281.8,-1.4,0.72
SINGAPORE RIVER,HDB,median_price,6m,2026-07-31,2966048.95,2817746.5,3114351.4,-2.77,0.75
SINGAPORE RIVER,HDB,median_price,12m,2027-02-01,2881597.9,2593438.11,3169757.69,-5.54,0.65
SINGAPORE RIVER,HDB,median_psf,6m,2026-07-31,3186.92,3027.58,3346.27,10.48,0.72
RIVER VALLEY,HDB,median_price,6m,2026-07-31,4299965.79,4084967.5,4514964.08,5.91,0.75
RIVER VALLEY,HDB,median_price,12m,2027-02-01,4539931.59,4085938.43,4993924.75,11.82,0.65
RIVER VALLEY,HDB,median_psf,6m,2026-07-31,2990.44,2840.92,3139.97,8.06,0.72
BUKIT BATOK,HDB,median_price,6m,2026-07-31,865641.89,822359.79,908923.98,-14.29,0.75
BUKIT BATOK,HDB,median_price,12m,2027-02-01,721283.78,649155.4,793412.15,-28.59,0.65
BUKIT BATOK,HDB,median_psf,6m,2026-07-31,1569.95,1491.45,1648.45,1.09,0.72
MUSEUM,HDB,median_price,6m,2026-07-31,1199276.57,1139312.74,1259240.4,-18.14,0.75
MUSEUM,HDB,median_price,12m,2027-02-01,933553.15,840197.83,1026908.46,-36.28,0.65
MUSEUM,HDB,median_psf,6m,2026-07-31,2165.64,2057.36,2273.92,-4.53,0.72
ORCHARD,HDB,median_price,6m,2026-07-31,1559294.06,1481329.35,1637258.76,-34.66,0.75
ORCHARD,HDB,median_price,12m,2027-02-01,732088.11,658879.3,805296.92,-69.32,0.65
ORCHARD,HDB,median_psf,6m,2026-07-31,3545.85,3368.56,3723.15,3.95,0.72
SOUTHERN ISLANDS,HDB,median_price,6m,2026-07-31,3426583.13,3255253.98,3597912.29,6.12,0.75
SOUTHERN ISLANDS,HDB,median_price,12m,2027-02-01,3624278.27,3261850.44,3986706.09,12.25,0.65
SOUTHERN ISLANDS,HDB,median_psf,6m,2026-07-31,1512.44,1436.82,1588.06,-3.73,0.72
MANDAI,HDB,median_price,6m,2026-07-31,1348668.67,1281235.24,1416102.1,11.69,0.75
MANDAI,HDB,median_price,12m,2027-02-01,1489837.34,1340853.61,1638821.08,23.38,0.65
MANDAI,HDB,median_psf,6m,2026-07-31,1236.48,1174.65,1298.3,7.94,0.72
TENGAH,HDB,median_price,6m,2026-07-31,1687468.53,1603095.1,1771841.96,6.13,0.75
TENGAH,HDB,median_price,12m,2027-02-01,1784937.06,1606443.36,1963430.77,12.26,0.65
TENGAH,HDB,median_psf,6m,2026-07-31,1864.93,1771.68,1958.18,4.83,0.72
