model,train_r2,test_r2,train_mae,test_mae,train_rmse,test_rmse,target,target_name
Linear Regression,0.9120411795712696,0.9122872152318063,104.33335147892575,104.11805179253847,173.8333743898743,173.3286226851379,price_psf,Transaction Price (PSF)
Ridge Regression,0.9120411506918865,0.9122871280367023,104.33238096245941,104.1173155975485,173.83340292709312,173.32870883793515,price_psf,Transaction Price (PSF)
XGBoost,0.9776156991494968,0.9776103666510602,45.87220839905,45.9183508081863,87.69306093016162,87.57140691126344,price_psf,Transaction Price (PSF)
Random Forest,0.9800642274272455,0.9793060869634812,41.744726837599,42.55689382990952,82.75800209624678,84.18992954913473,price_psf,Transaction Price (PSF)
Linear Regression,0.4662075845985042,0.4567894729239027,0.5323237556422077,0.5347101744686036,0.6854249444835757,0.6908924710525375,rental_yield_pct,Rental Yield (%)
Ridge Regression,0.46620541933069104,0.4567988011492886,0.5323700998664432,0.5347488115414039,0.6854263346560686,0.6908865388880868,rental_yield_pct,Rental Yield (%)
XGBoost,0.9335428545742057,0.9304374566135455,0.1621854520453249,0.16582081407470095,0.24184914012611214,0.24723735993856016,rental_yield_pct,Rental Yield (%)
Random Forest,0.9628005610890011,0.9605685932766187,0.07995752501209365,0.08226033685541749,0.1809430476355501,0.18614334186429052,rental_yield_pct,Rental Yield (%)
Linear Regression,0.07535140908238902,0.07612196948758554,31.53166306951766,31.069260469503316,82.03400195929743,80.43387837702947,yoy_change_pct,Year-over-Year Appreciation (%)
Ridge Regression,0.075351247397354,0.07613395999846706,31.528983721474656,31.066434754266908,82.03400913157348,80.43335642153788,yoy_change_pct,Year-over-Year Appreciation (%)
XGBoost,0.8952149338512125,0.8829992199782597,14.78794430375252,14.894923761927007,27.6156480148532,28.623719591200665,yoy_change_pct,Year-over-Year Appreciation (%)
Random Forest,0.9874038378356472,0.982079512969245,4.963020606678556,5.129161547096055,9.574688733254712,11.202284405031804,yoy_change_pct,Year-over-Year Appreciation (%)
