Variable,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
const,2019.9930152205736,19.561756729500686,0.0,1981.6524690206313,2058.3335614205157
remaining_lease_years,54.75165086683659,0.21487299033631843,0.0,54.3305052648833,55.17279646878988
floor_area_sqm,-4.74477931078141,0.10754800875224861,0.0,-4.955570675549733,-4.533987946013086
storey,60.20846595872915,0.45003013289308086,0.0,59.326418331813706,61.090513585644594
town_BEDOK,-158.67899003774605,15.98668319544748,3.2542471540716865e-23,-190.01248293997273,-127.34549713551937
town_BISHAN,902.6910034978011,21.982028764854167,0.0,859.6067855984784,945.7752213971239
town_BUKIT BATOK,-744.4413446109303,17.025357808557402,0.0,-777.8106133660788,-711.0720758557818
town_BUKIT MERAH,1122.0209410284888,17.293448448096495,0.0,1088.1262214310077,1155.9156606259698
town_BUKIT PANJANG,-1460.1417881523314,17.871248484884593,0.0,-1495.1689811422145,-1425.1145951624483
town_BUKIT TIMAH,1752.1653648905697,50.410203914056474,5.321146014427532e-264,1653.362645950678,1850.9680838304614
town_CENTRAL AREA,1931.5316502350863,29.998746359388022,0.0,1872.7348695247977,1990.328430945375
town_CHOA CHU KANG,-1680.1177481347324,17.00246628646437,0.0,-1713.4421500881651,-1646.7933461812997
town_CLEMENTI,443.92234882263824,20.171368940071133,3.171749405203542e-107,404.3869781779069,483.4577194673696
town_GEYLANG,492.3282799695488,19.426526324753322,1.6992829370070484e-141,454.25278192722084,530.4037780118767
town_HOUGANG,-694.207049513864,16.310787622542477,0.0,-726.1757788589355,-662.2383201687926
town_JURONG EAST,-877.3651996148072,20.794721792594196,0.0,-918.1223260134574,-836.6080732161571
town_JURONG WEST,-1386.9198852078052,15.48805455651681,0.0,-1417.276078645986,-1356.5636917696245
town_KALLANG/WHAMPOA,810.8069583987478,18.30579617008979,0.0,774.9280629860674,846.6858538114283
town_MARINE PARADE,1371.4388261919662,33.13029489557064,0.0,1306.504289911504,1436.3733624724284
town_PASIR RIS,-906.6195674659208,19.132183117891422,0.0,-944.1181603009414,-869.1209746309002
town_PUNGGOL,-1259.2044173114477,15.987876745145563,0.0,-1290.540249540759,-1227.8685850821364
town_QUEENSTOWN,1242.3165821926893,19.062100700454984,0.0,1204.9553491153163,1279.6778152700624
town_SEMBAWANG,-1411.877301734668,18.959633462635377,0.0,-1449.0377016292177,-1374.7169018401182
town_SENGKANG,-1437.9273515675432,15.461009211298125,0.0,-1468.230536816215,-1407.6241663188714
town_SERANGOON,78.89628308908031,21.80155319737648,0.0002959943405592481,36.16579271681568,121.62677346134495
town_TAMPINES,-321.0341929458465,15.401683386709236,2.1309403669863176e-96,-351.2211010855676,-290.84728480612534
town_TOA PAYOH,644.1004814599689,17.970199323922948,1.5062334673429466e-280,608.8793473395353,679.3216155804025
town_WOODLANDS,-1511.1426137811534,15.4713348170907,0.0,-1541.4660369548442,-1480.8191906074626
town_YISHUN,-1108.680555451027,15.394684197895488,0.0,-1138.8537453584959,-1078.507365543558
