property_type,year,mrt_coefficient,mrt_premium_100m,r2,n_transactions,mean_price,mean_mrt_distance
HDB,2017,-0.04669875273348987,-4.669875273348987,0.021563762439273382,16003,425.5842539847469,556.2069275923552
HDB,2018,-0.05522130125614424,-5.5221301256144235,0.026936223687572425,16581,415.28218897102016,553.4081495061016
HDB,2019,-0.06764826344613095,-6.764826344613095,0.04215339956422515,15678,409.02123443088834,560.1824210457593
HDB,2020,-0.05817353132477434,-5.817353132477434,0.027511205347466317,16530,428.34788889241264,529.333106277506
HDB,2021,-0.04644155110910039,-4.644155110910039,0.01629435978337368,21113,479.7757669349299,515.206404507408
HDB,2022,-0.05174597553783062,-5.174597553783062,0.02026636344021837,19614,523.7251251032292,532.2383293686122
HDB,2023,-0.05483763008735494,-5.483763008735494,0.019426221736983162,18149,554.4928950976991,541.3357320453575
HDB,2024,-0.05086118476214568,-5.086118476214567,0.014336241084876855,20049,589.1123411804167,533.2036347119495
HDB,2025,-0.067986080548172,-6.798608054817199,0.02237026600617764,17200,622.643779672698,542.5206811058886
HDB,2026,-0.048939111098854654,-4.893911109885465,0.008852492920115584,1008,625.1366783860607,538.9993588890836
