feature,importance
yoy_change_pct_lag1,0.80904174
yoy_change_pct_lag2,0.09922861
mom_change_pct,0.07417008
is_shoebox,0.0062631196
transaction_count,0.005294322
price,0.0008233433
acceleration_2y,0.00076457876
trend_stability,0.0007487986
is_large_unit,0.0006371918
Postal District,0.0006245542
yoy_change_pct_lag3,0.00052225677
stratified_median_price,0.0004591537
volume_3m_avg,0.00036959353
floor_area_sqft,0.00025766698
volume_12m_avg,0.00025632573
price_psm,0.00020883817
price_psf,0.00017220517
is_prime_district,0.00013134899
log_price_psf,2.6188949e-05
amenity_count_500m,0.0
is_old,0.0
is_new_launch,0.0
is_condo,0.0
is_ec,0.0
is_hdb,0.0
amenity_density_1km,0.0
amenity_density_500m,0.0
is_mrt_adjacent,0.0
