h3_index,lisa_cluster,lisa_I,lisa_z,lisa_p,appreciation_mean,lat,lon,dominant_type
886520d827fffff,HH,0.5359832689072465,0.5463984204126628,0.006,12.583667362845963,1.307140150920243,103.8169446388792,hdb
886520d82dfffff,HH,0.6216353026176894,0.7206993407047375,0.011,12.719718605646165,1.2979582533625873,103.82970262908991,hdb
886520d919fffff,HH,1.2181185224791133,1.464991846199142,0.013,13.300678936834926,1.3135540011163702,103.83045140457725,hdb
886520d91bfffff,HH,0.5389969747407505,0.5497789457738348,0.006,12.586306044706818,1.3143786314754555,103.82207803288503,hdb
886520d941fffff,NS,0.7179459424288603,1.2420250832735449,0.067,13.126641386440278,1.3111524333932405,103.86597725311147,hdb
886520d943fffff,HH,0.6931105685141923,0.8262555818875178,0.014,12.80211092907263,1.3115442062882552,103.85724587040666,hdb
886520d949fffff,HH,0.43979789886437637,0.6332297047210843,0.036,12.651443850338413,1.302383150582533,103.86946566309548,hdb
886520d94bfffff,HH,0.7113017908373908,0.9602402173133618,0.028,12.906693143184134,1.3035678620792865,103.86097738897882,hdb
886520d94dfffff,HH,0.21556377064233492,0.274687730640652,0.026,12.371582555929066,1.309575692911287,103.87547061943947,hdb
886520d953fffff,HH,1.1463991692400919,1.347840373972704,0.012,13.209235911946864,1.306062354218497,103.83457279933127,hdb
886520d955fffff,HH,0.8807444598020566,0.9404136782288719,0.007,12.891217463088173,1.312446107561374,103.84952642917827,hdb
886520d95bfffff,HH,0.8896155549980153,1.0054590380390784,0.009,12.94198886478666,1.2973055876285307,103.83822636421898,hdb
886520d95dfffff,HH,0.29695663356028856,0.38702482759498136,0.021,12.45926770198333,1.30385164483069,103.852391216755,hdb
886520db21fffff,NS,0.5224006383681906,1.189000290084029,0.111,13.085252683497295,1.294490164877815,103.88166195789596,hdb
886520db23fffff,NS,0.1487898791332032,0.3274820858246752,0.116,12.412791389615002,1.2950114961120665,103.87375941674082,hdb
886520db29fffff,NS,0.5683613280294382,1.4074793317920566,0.128,13.255787326116309,1.2859338150263164,103.88643256257218,hdb
886520db2bfffff,NS,0.1313689371273686,0.23091141525329145,0.068,12.337412787326102,1.2871550086217523,103.877354203807,hdb
886520db2dfffff,NS,0.060173887451201946,0.1080523787979817,0.071,12.241514701584668,1.2934853378210636,103.89125632834978,hdb
886520db31fffff,NS,0.9087795789530991,1.7491412226918066,0.06,13.522472807733307,1.2882100548143967,103.85915030362405,hdb
886520db33fffff,HH,0.41458746341909364,0.5246670715820484,0.014,12.566704876295832,1.2890746041347771,103.85140595215606,hdb
886520db35fffff,HH,0.35714173192988463,0.4714216778489042,0.021,12.525143982763879,1.295816131652467,103.8648148525409,hdb
886520db37fffff,HH,0.7016747491982025,0.9929702060422171,0.025,12.932240659720108,1.296119641812614,103.85642053400733,hdb
886520db3bfffff,HH,0.16803560431447734,0.2507698448801891,0.039,12.352913359705596,1.2825168385255457,103.8541654174889,hdb
886520db3dfffff,LL,-0.004795324184538562,-0.00669072736036628,0.029,12.15195153594309,1.2878216650339913,103.8684985487685,hdb
8865263411fffff,LH,1.8409023594869272,-1.3664051958789947,0.001,11.090621263071396,1.427901536754071,103.83728267365981,hdb
8865263419fffff,LH,1.6742344965411882,-1.2436083796339445,0.001,11.186470782592302,1.4201540723601502,103.84069553733592,hdb
886526341bfffff,LH,2.131561527940212,-1.863746313653936,0.001,10.702419771905783,1.4208647733396862,103.83263952208011,hdb
8865263443fffff,LH,0.852745526188704,-1.227441008969423,0.023,11.19909028493362,1.4178994532183493,103.86687089572611,hdb
8865263447fffff,LH,0.13363329722583445,-0.16599283667547954,0.011,12.027607671798844,1.4251743616135486,103.8726492436332,hdb
886526344bfffff,LH,0.7546031749438897,-1.1784655121301961,0.027,11.237318294289903,1.4101432401936633,103.87130559552146,hdb
8865263451fffff,LH,1.1697495024116362,-1.3290848094740857,0.004,11.11975183188115,1.411576830961006,103.8541934794544,hdb
8865263453fffff,LH,1.2541828466347598,-0.9252842681093605,0.001,11.4349398722197,1.4127386971715215,103.84518063517324,hdb
8865263455fffff,LH,0.4963880978971153,-0.6263301897279598,0.009,11.668289609190813,1.4191158329760822,103.85944991662353,hdb
8865263459fffff,LH,0.04670640590542153,-0.044917399345863085,0.003,12.122113562494484,1.4037928954425536,103.85734919730687,hdb
886526345bfffff,LH,1.0411368850153206,-1.1045371407043953,0.004,11.29502336431375,1.4046713692814166,103.84861660975004,hdb
88652634ebfffff,LH,1.7582514350593357,-1.4579542236576764,0.001,11.019162323063687,1.4370493576157475,103.81673817662957,hdb
8865263607fffff,LH,0.08686518410709591,-0.09198645977966123,0.005,12.085373629287446,1.3863048860969946,103.88246180423387,hdb
8865263623fffff,LH,0.3695183836748856,-0.5419015669069065,0.026,11.734190690168846,1.4021350305359384,103.88428681402307,hdb
886526362bfffff,NS,0.7839857709387646,-1.4823383146481763,0.053,11.000129228584028,1.39420596591639,103.8879402825025,hdb
88652636a1fffff,LH,0.9081610597870033,-0.7041323218863512,0.001,11.607560860570798,1.405581490066808,103.83143301946957,hdb
88652636a5fffff,LH,1.6153850909046585,-1.3091369687189478,0.001,11.135322194455078,1.4131729889413998,103.83656315480344,hdb
88652636adfffff,LH,1.5941007915837282,-1.4809866762976331,0.001,11.001184255012458,1.4058181824990579,103.83991347093328,hdb
