school_name,track,tier,ip_cutoff_2026,sap,autonomous,ip,awards
RAFFLES GIRLS' SCHOOL,IP,1,4-6,Yes,Yes,Yes,Premier girls school
RAFFLES INSTITUTION,IP,1,4-6,Yes,Yes,Yes,Premier boys school
Hwa Chong Institution,IP,1,4(D)-7(D),Yes,Yes,Yes,Bicultural focus
NANYANG GIRLS' HIGH,IP,1,4(D)-7(D),Yes,Yes,Yes,Elite SAP school
Anglo-Chinese School (Independent),IP,1,6-7,No,No,Yes,Top-3 IB globally
METHODIST GIRLS' SCHOOL,IP,2,6,No,Yes,Yes,Arts excellence
CHIJ St. Nicholas Girls' School,IP,2,7(D),Yes,Yes,Yes,High demand
Dunman High School,IP,2,7(M)-8(M),Yes,Yes,Yes,Math/Science strength
Catholic High School,IP,2,7(M),Yes,Yes,Yes,Character development
National Junior College,IP,2,7-8,No,No,Yes,First IP school
TEMASEK JUNIOR COLLEGE,IP,3,8-9,No,No,Yes,Innovation focus
VICTORIA JUNIOR COLLEGE,IP,3,8-9,No,No,Yes,Holistic education
Anglo-Chinese School (Barker Road),IP,3,9-10,No,Yes,Yes,Strong academics
ST. JOSEPH'S INSTITUTION,IP,3,9-10,No,No,Yes,Christian values
Cedar Girls' Secondary School,IP,3,9-10,No,Yes,Yes,Leadership focus
Nan Hua High School,Express,2,8-10,Yes,Yes,Yes,Strong academic
Chung Cheng High School (Main),Express,2,9-11,Yes,Yes,No,Heritage school
Maris Stella High School,Express,2,9-11,Yes,Yes,Yes,Catholic values
RIVER VALLEY HIGH SCHOOL,Express,2,8-10,Yes,Yes,No,Innovation
SINGAPORE CHINESE GIRLS' SCHOOL,Express,2,9-11,Yes,Yes,Yes,Leadership
Crescent Girls' School,Express,3,10-12,No,Yes,No,Innovation
FAIRFIELD METHODIST SCHOOL,Express,3,10-12,No,No,Yes,Character
Anderson Secondary School,Express,3,10-12,No,No,Yes,Academic strength
Bukit Panjang Govt. High School,Express,3,11-13,No,No,No,Value-added
Commonwealth Secondary School,Express,3,11-13,No,No,No,Applied learning
